case,cvc,pcvc
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl826.smt2,595,944
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn480.smt2,46,66
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_brn840.smt2,144,188
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl951.smt2,127,146
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl292.smt2,104,101
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_brn1322.smt2,104,114
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl793.smt2,74,89
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl887.smt2,415,480
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_brn1086.smt2,74,118
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_brn1123.smt2,132,150
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl508.smt2,458,521
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl351.smt2,460,650
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl1105.smt2,339,386
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl1262.smt2,57,63
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_brn501.smt2,78,100
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_brn528.smt2,89,133
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl319.smt2,1011,1245
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn1273.smt2,90,81
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn131.smt2,68,106
